Name,Sector,Code,Market,Number,Mktcap,Share_count,EPS,PERatio,ROE
AEMULUS HOLDINGS BERHAD,TECHNOLOGY ,AEMULUS (0181),ACE,181,153.69m,548.90m,0.73 *,38.36,5.21
APPASIA BERHAD,TECHNOLOGY ,APPASIA (0119),ACE,119,31.07m,345.25m,-0.35 *,-,-4.49
ASDION BERHAD,TECHNOLOGY ,ASDION (0068),ACE,68,22.38m,127.90m,-1.67 *,-,-24.56
CABNET HOLDINGS BERHAD,TECHNOLOGY ,CABNET (0191),ACE,191,36.64m,178.75m,2.39 *,8.58,8.98
CENSOF HOLDINGS BERHAD,TECHNOLOGY ,CENSOF (5195),MAIN,5195,70.25m,501.76m,0.14 *,100,0.54
CUSCAPI BERHAD,TECHNOLOGY ,CUSCAPI (0051),MAIN,51,180.45m,859.27m,-2.03 *,-,-18.45
D&O GREEN TECHNOLOGIES BERHAD,TECHNOLOGY ,D&O (7204),MAIN,7204,682.13m,1.109b,3.32 *,18.52,11.07
DATAPREP HOLDINGS BHD,TECHNOLOGY ,DATAPRP (8338),MAIN,8338,85.48m,427.40m,-2.77 *,-,-69.25
DGB ASIA BERHAD,TECHNOLOGY ,DGB (0152),ACE,152,79.40m,756.17m,-,-,-
DIVERSIFIED GATEWAY SOLUTIONS BERHAD,TECHNOLOGY ,DGSB (0131),ACE,131,70.84m,745.73m,-,-,-
DIGISTAR CORPORATION BERHAD,TECHNOLOGY ,DIGISTA (0029),MAIN,29,32.92m,658.34m,-3.06 *,-,-0.32
DAGANG NEXCHANGE BERHAD,TECHNOLOGY ,DNEX (4456),MAIN,4456,509.83m,1.758b,1.77 *,16.38,6.81
DATASONIC GROUP BERHAD,TECHNOLOGY ,DSONIC (5216),MAIN,5216,999.00m,1.350b,2.71 *,27.31,13.9
EA HOLDINGS BERHAD,TECHNOLOGY ,EAH (0154),ACE,154,50.72m,5.072b,-0.94 *,-,-23.5
EDARAN BERHAD,TECHNOLOGY ,EDARAN (5036),MAIN,5036,27.90m,60.00m,7.97 *,5.83,-
EDUSPEC HOLDINGS BERHAD,TECHNOLOGY ,EDUSPEC (0107),ACE,107,38.56m,1.102b,-,-,-
EXCEL FORCE MSC BERHAD,TECHNOLOGY ,EFORCE (0065),MAIN,65,271.50m,441.46m,1.55 *,39.68,12.92
ELSOFT RESEARCH BERHAD,TECHNOLOGY ,ELSOFT (0090),MAIN,90,624.05m,667.43m,5.50 *,17,30.56
FRONTKEN CORPORATION BERHAD,TECHNOLOGY ,FRONTKN (0128),MAIN,128,1.622b,1.053b,5.82 *,26.46,18.77
FSBM HOLDINGS BERHAD,TECHNOLOGY ,FSBM (9377),MAIN,9377,13.42m,141.31m,-0.36 *,-,-9
GENETEC TECHNOLOGY BERHAD,TECHNOLOGY ,GENETEC (0104),ACE,104,49.90m,42.29m,13.27 *,8.89,7.41
GHL SYSTEMS BERHAD,TECHNOLOGY ,GHLSYS (0021),MAIN,21,1.049b,749.21m,3.34 *,41.92,6.03
G NEPTUNE BERHAD,TECHNOLOGY ,GNB (0045),ACE,45,18.77m,288.75m,-0.32 *,-,-
GRAND-FLO BERHAD,TECHNOLOGY ,GRANFLO (0056),MAIN,56,118.36m,483.12m,2.06 *,11.89,8.51
GREATECH TECHNOLOGY BERHAD,TECHNOLOGY ,GREATEC (0208),ACE,208,682.34m,626.00m,-,-,-
GLOBETRONICS TECHNOLOGY BERHAD,TECHNOLOGY ,GTRONIC (7022),MAIN,7022,1.218b,669.13m,8.67 *,20.99,20.64
HEITECH PADU BERHAD,TECHNOLOGY ,HTPADU (5028),MAIN,5028,91.61m,101.23m,-29.29 *,-,-30.83
IDIMENSION CONSOLIDATED BHD,TECHNOLOGY ,IDMENSN (0174),ACE,174,6.80m,271.96m,-,-,-
IFCA MSC BERHAD,TECHNOLOGY ,IFCAMSC (0023),ACE,23,228.11m,608.29m,1.98 *,18.94,9.9
INARI AMERTRON BERHAD,TECHNOLOGY ,INARI (0166),MAIN,166,5.180b,3.178b,6.62 *,24.62,19.08
INIX TECHNOLOGIES HOLDINGS BERHAD,TECHNOLOGY ,INIX (0094),ACE,94,16.27m,271.14m,-7.32 *,-,-89.27
IRIS CORPORATION BERHAD,TECHNOLOGY ,IRIS (0010),ACE,10,444.94m,2.966b,1.29 *,11.63,14.02
INDUSTRONICS BERHAD,TECHNOLOGY ,ITRONIC (9393),MAIN,9393,12.43m,113.04m,-1.76 *,-,-13.54
JCY INTERNATIONAL BERHAD,TECHNOLOGY ,JCY (5161),MAIN,5161,415.37m,2.077b,-4.52 *,-,-10.07
JF TECHNOLOGY BERHAD,TECHNOLOGY ,JFTECH (0146),ACE,146,160.65m,210.00m,-0.02 *,-,-0.13
JHM CONSOLIDATION BERHAD,TECHNOLOGY ,JHM (0127),ACE,127,691.42m,557.60m,6.81 *,18.21,20.03
KESM INDUSTRIES BERHAD,TECHNOLOGY ,KESM (9334),MAIN,9334,356.59m,43.01m,35.57 *,23.31,4.26
