,Name,Sector,Code,Market,Mktcap(m),Share_count(m),EPS,PERatio,ROE
0,AEMULUS HOLDINGS BERHAD,TECHNOLOGY ,AEMULUS (0181),ACE,153.69,548.9,0.73 *,38.36,5.21
1,APPASIA BERHAD,TECHNOLOGY ,APPASIA (0119),ACE,31.07,345.25,-0.35 *,-,-4.49
2,ASDION BERHAD,TECHNOLOGY ,ASDION (0068),ACE,22.38,127.9,-1.67 *,-,-24.56
3,CABNET HOLDINGS BERHAD,TECHNOLOGY ,CABNET (0191),ACE,36.64,178.75,2.39 *,8.58,8.98
4,CENSOF HOLDINGS BERHAD,TECHNOLOGY ,CENSOF (5195),MAIN,70.25,501.76,0.14 *,100,0.54
5,CUSCAPI BERHAD,TECHNOLOGY ,CUSCAPI (0051),MAIN,180.45,859.27,-2.03 *,-,-18.45
6,D&O GREEN TECHNOLOGIES BERHAD,TECHNOLOGY ,D&O (7204),MAIN,682.13,1109.0,3.32 *,18.52,11.07
7,DATAPREP HOLDINGS BHD,TECHNOLOGY ,DATAPRP (8338),MAIN,85.48,427.4,-2.77 *,-,-69.25
8,DGB ASIA BERHAD,TECHNOLOGY ,DGB (0152),ACE,79.4,756.17,-,-,-
9,DIVERSIFIED GATEWAY SOLUTIONS BERHAD,TECHNOLOGY ,DGSB (0131),ACE,70.84,745.73,-,-,-
10,DIGISTAR CORPORATION BERHAD,TECHNOLOGY ,DIGISTA (0029),MAIN,32.92,658.34,-3.06 *,-,-0.32
11,DAGANG NEXCHANGE BERHAD,TECHNOLOGY ,DNEX (4456),MAIN,509.83,1758.0,1.77 *,16.38,6.81
12,DATASONIC GROUP BERHAD,TECHNOLOGY ,DSONIC (5216),MAIN,999.0,1350.0,2.71 *,27.31,13.9
13,EA HOLDINGS BERHAD,TECHNOLOGY ,EAH (0154),ACE,50.72,5072.0,-0.94 *,-,-23.5
14,EDARAN BERHAD,TECHNOLOGY ,EDARAN (5036),MAIN,27.9,60.0,7.97 *,5.83,-
15,EDUSPEC HOLDINGS BERHAD,TECHNOLOGY ,EDUSPEC (0107),ACE,38.56,1102.0,-,-,-
16,EXCEL FORCE MSC BERHAD,TECHNOLOGY ,EFORCE (0065),MAIN,271.5,441.46,1.55 *,39.68,12.92
17,ELSOFT RESEARCH BERHAD,TECHNOLOGY ,ELSOFT (0090),MAIN,624.05,667.43,5.50 *,17,30.56
18,FRONTKEN CORPORATION BERHAD,TECHNOLOGY ,FRONTKN (0128),MAIN,1622.0,1053.0,5.82 *,26.46,18.77
19,FSBM HOLDINGS BERHAD,TECHNOLOGY ,FSBM (9377),MAIN,13.42,141.31,-0.36 *,-,-9
20,GENETEC TECHNOLOGY BERHAD,TECHNOLOGY ,GENETEC (0104),ACE,49.9,42.29,13.27 *,8.89,7.41
21,GHL SYSTEMS BERHAD,TECHNOLOGY ,GHLSYS (0021),MAIN,1049.0,749.21,3.34 *,41.92,6.03
22,G NEPTUNE BERHAD,TECHNOLOGY ,GNB (0045),ACE,18.77,288.75,-0.32 *,-,-
23,GRAND-FLO BERHAD,TECHNOLOGY ,GRANFLO (0056),MAIN,118.36,483.12,2.06 *,11.89,8.51
24,GREATECH TECHNOLOGY BERHAD,TECHNOLOGY ,GREATEC (0208),ACE,682.34,626.0,-,-,-
25,GLOBETRONICS TECHNOLOGY BERHAD,TECHNOLOGY ,GTRONIC (7022),MAIN,1218.0,669.13,8.67 *,20.99,20.64
26,HEITECH PADU BERHAD,TECHNOLOGY ,HTPADU (5028),MAIN,91.61,101.23,-29.29 *,-,-30.83
27,IDIMENSION CONSOLIDATED BHD,TECHNOLOGY ,IDMENSN (0174),ACE,6.8,271.96,-,-,-
28,IFCA MSC BERHAD,TECHNOLOGY ,IFCAMSC (0023),ACE,228.11,608.29,1.98 *,18.94,9.9
29,INARI AMERTRON BERHAD,TECHNOLOGY ,INARI (0166),MAIN,5180.0,3178.0,6.62 *,24.62,19.08
30,INIX TECHNOLOGIES HOLDINGS BERHAD,TECHNOLOGY ,INIX (0094),ACE,16.27,271.14,-7.32 *,-,-89.27
31,IRIS CORPORATION BERHAD,TECHNOLOGY ,IRIS (0010),ACE,444.94,2966.0,1.29 *,11.63,14.02
32,INDUSTRONICS BERHAD,TECHNOLOGY ,ITRONIC (9393),MAIN,12.43,113.04,-1.76 *,-,-13.54
33,JCY INTERNATIONAL BERHAD,TECHNOLOGY ,JCY (5161),MAIN,415.37,2077.0,-4.52 *,-,-10.07
34,JF TECHNOLOGY BERHAD,TECHNOLOGY ,JFTECH (0146),ACE,160.65,210.0,-0.02 *,-,-0.13
35,JHM CONSOLIDATION BERHAD,TECHNOLOGY ,JHM (0127),ACE,691.42,557.6,6.81 *,18.21,20.03
36,KESM INDUSTRIES BERHAD,TECHNOLOGY ,KESM (9334),MAIN,356.59,43.01,35.57 *,23.31,4.26
37,KEY ASIC BERHAD,TECHNOLOGY ,KEYASIC (0143),MAIN,109.32,950.57,0.24 *,47.92,6.86
38,KEY ALLIANCE GROUP BERHAD,TECHNOLOGY ,KGROUP (0036),ACE,20.83,520.71,-1.34 *,-,-8.87
39,KRONOLOGI ASIA BERHAD,TECHNOLOGY ,KRONO (0176),ACE,308.24,489.28,3.68 *,17.12,8.76
40,LAMBO GROUP BERHAD,TECHNOLOGY ,LAMBO (0018),ACE,136.64,2102.0,0.78 *,8.33,13.45
41,LYC HEALTHCARE BERHAD,TECHNOLOGY ,LYC (0075),ACE,97.46,324.86,-1.80 *,-,-25.71
42,MI TECHNOVATION BERHAD,TECHNOLOGY ,MI (5286),MAIN,890.0,500.0,8.93 *,19.93,13.13
43,MICROLINK SOLUTIONS BERHAD,TECHNOLOGY ,MICROLN (0126),ACE,75.32,167.37,0.55 *,81.82,4.7
44,MIKRO MSC BERHAD,TECHNOLOGY ,MIKROMB (0112),ACE,96.95,430.89,0.90 *,25,6.43
45,MLABS SYSTEMS BERHAD,TECHNOLOGY ,MLAB (0085),ACE,30.17,670.5,-,-,-
46,MMAG HOLDINGS BERHAD,TECHNOLOGY ,MMAG (0034),ACE,174.02,682.42,-,-,-
47,MMS VENTURES BERHAD,TECHNOLOGY ,MMSV (0113),MAIN,153.88,203.81,3.27 *,23.09,10.9
48,MANAGEPAY SYSTEMS BERHAD,TECHNOLOGY ,MPAY (0156),ACE,74.6,710.47,-1.02 *,-,-7.85
49,MALAYSIAN PACIFIC INDUSTRIES BERHAD,TECHNOLOGY ,MPI (3867),MAIN,1939.0,209.88,65.42 *,14.12,9.76
50,MQ TECHNOLOGY BERHAD,TECHNOLOGY ,MQTECH (0070),ACE,19.27,642.28,-0.94 *,-,-11.75
51,MESINIAGA BERHAD,TECHNOLOGY ,MSNIAGA (5011),MAIN,74.29,60.4,-21.98 *,-,-11.95
52,MY E.G. SERVICES BERHAD,TECHNOLOGY ,MYEG (0138),MAIN,5518.0,3606.0,-,-,-
