Code,Price,High,Low,Volume,TimeStamp
ABMB (2488),3.730,3.720 ,3.750,0.7162,2019-07-18 18:30:45.887923
AEONCR (5139),16.600,16.600 ,16.760,0.0616,2019-07-18 18:30:48.281936
AFFIN (5185),2.070,2.060 ,2.070,0.0654,2019-07-18 18:30:49.630014
ALLIANZ (1163),13.960,13.860 ,13.960,0.0011,2019-07-18 18:30:50.951272
AMBANK (1015),4.300,4.300 ,4.350,0.8095,2019-07-18 18:30:52.300755
APEX (5088),0.890,0.890 ,0.890,0.002,2019-07-18 18:30:53.595355
BIMB (5258),4.490,4.460 ,4.500,1.152,2019-07-18 18:30:54.902524
BURSA (1818),6.940,6.920 ,6.980,0.198,2019-07-18 18:30:56.288114
CIMB (1023),5.150,5.140 ,5.180,9.3721,2019-07-18 18:30:57.698110
ECM (2143),0.275,0.275 ,0.275,0.015,2019-07-18 18:30:59.039797
ELKDESA (5228),1.650,1.630 ,1.660,0.106,2019-07-18 18:31:00.340700
FINTEC (0150),0.050,0.050 ,0.050,1.7508,2019-07-18 18:31:01.619202
HLBANK (5819),18.560,18.500 ,18.720,0.166,2019-07-18 18:31:02.955024
HLCAP (5274),9.600,0.000 ,0.000,0.0,2019-07-18 18:31:04.280824
HLFG (1082),18.540,18.540 ,18.700,0.1383,2019-07-18 18:31:05.602275
INSAS (3379),0.795,0.790 ,0.795,0.2503,2019-07-18 18:31:06.884996
JOHAN (3441),0.085,0.085 ,0.090,0.1186,2019-07-18 18:31:08.272477
KENANGA (6483),0.570,0.570 ,0.570,0.0367,2019-07-18 18:31:10.564303
KUCHAI (2186),1.670,1.670 ,1.670,0.0222,2019-07-18 18:31:11.850651
LPI (8621),16.180,16.160 ,16.280,0.0159,2019-07-18 18:31:13.122702
MAA (1198),0.950,0.950 ,0.965,0.153,2019-07-18 18:31:14.506888
MANULFE (1058),2.850,0.000 ,0.000,0.0,2019-07-18 18:31:16.434418
MAYBANK (1155),8.860,8.860 ,8.890,3.8382,2019-07-18 18:31:18.009590
MBSB (1171),0.900,0.895 ,0.905,1.458,2019-07-18 18:31:19.403436
MNRB (6459),1.120,1.100 ,1.130,0.562,2019-07-18 18:31:20.694131
MPHBCAP (5237),1.150,1.150 ,1.180,0.1031,2019-07-18 18:31:21.994624
OSKVI (0053),0.420,0.000 ,0.000,0.0,2019-07-18 18:31:23.352247
P&O (6009),0.990,0.985 ,0.995,0.0698,2019-07-18 18:31:24.662552
PBBANK (1295),22.860,22.860 ,23.000,7.6344,2019-07-18 18:31:25.969760
RCECAP (9296),1.580,1.580 ,1.600,0.3111,2019-07-18 18:31:27.374249
RHBBANK (1066),5.720,5.710 ,5.760,4.6985,2019-07-18 18:31:28.660304
TA (4898),0.640,0.640 ,0.645,0.1047,2019-07-18 18:31:29.974592
TAKAFUL (6139),6.900,6.850 ,6.950,1.1565,2019-07-18 18:31:31.303221
TUNEPRO (5230),0.720,0.720 ,0.730,0.6037,2019-07-18 18:31:32.693372
AEMULUS (0181),0.260,0.260 ,0.280,2.2345,2019-07-18 18:31:34.039667
APPASIA (0119),0.090,0.000 ,0.000,0.0,2019-07-18 18:31:35.331678
ASDION (0068),0.165,0.165 ,0.170,0.5989,2019-07-18 18:31:36.691814
CABNET (0191),0.210,0.205 ,0.225,0.2781,2019-07-18 18:31:38.085774
CENSOF (5195),0.135,0.135 ,0.145,0.0628,2019-07-18 18:31:39.491036
CUSCAPI (0051),0.190,0.185 ,0.195,2.7046,2019-07-18 18:31:40.895861
D&O (7204),0.590,0.590 ,0.600,1.6667,2019-07-18 18:31:42.229496
DATAPRP (8338),0.185,0.185 ,0.190,1.0654,2019-07-18 18:31:43.593684
DGB (0152),0.105,0.100 ,0.110,0.3201,2019-07-18 18:31:44.901566
DGSB (0131),0.085,0.085 ,0.090,1.3409,2019-07-18 18:31:46.205308
DIGISTA (0029),0.045,0.045 ,0.050,0.2,2019-07-18 18:31:47.546411
DNEX (4456),0.285,0.285 ,0.295,7.3193,2019-07-18 18:31:49.141031
DSONIC (5216),0.695,0.695 ,0.720,6.314,2019-07-18 18:31:50.433548
EAH (0154),0.010,0.010 ,0.010,0.086,2019-07-18 18:31:51.878185
EDARAN (5036),0.460,0.450 ,0.460,0.1885,2019-07-18 18:31:53.196039
EDUSPEC (0107),0.035,0.030 ,0.035,0.458,2019-07-18 18:31:54.474633
EFORCE (0065),0.605,0.600 ,0.645,14.5826,2019-07-18 18:31:55.738509
ELSOFT (0090),0.895,0.880 ,0.925,4.1167,2019-07-18 18:31:57.035246
FRONTKN (0128),1.580,1.540 ,1.580,3.5897,2019-07-18 18:31:58.328360
FSBM (9377),0.095,0.000 ,0.000,0.0,2019-07-18 18:31:59.650966
GENETEC (0104),1.170,1.170 ,1.190,0.0129,2019-07-18 18:32:00.955545
GHLSYS (0021),1.380,1.330 ,1.390,1.3766,2019-07-18 18:32:02.253396
GNB (0045),0.060,0.060 ,0.060,0.02,2019-07-18 18:32:03.548814
GRANFLO (0056),0.245,0.245 ,0.250,0.502,2019-07-18 18:32:05.386872
GREATEC (0208),1.050,1.030 ,1.080,4.4732,2019-07-18 18:32:06.819243
GTRONIC (7022),1.750,1.740 ,1.800,1.4434,2019-07-18 18:32:08.077573
HTPADU (5028),0.960,0.940 ,0.975,0.9165,2019-07-18 18:32:09.532769
IDMENSN (0174),0.025,0.000 ,0.000,0.0,2019-07-18 18:32:10.852880
IFCAMSC (0023),0.370,0.370 ,0.380,3.9998,2019-07-18 18:32:12.194374
INARI (0166),1.590,1.560 ,1.620,13.8125,2019-07-18 18:32:13.515829
INIX (0094),0.055,0.055 ,0.065,5.2314,2019-07-18 18:32:14.964737
IRIS (0010),0.145,0.145 ,0.150,1.2886,2019-07-18 18:32:16.282457
ITRONIC (9393),0.100,0.100 ,0.100,0.05,2019-07-18 18:32:17.675085
JCY (5161),0.190,0.190 ,0.195,1.4653,2019-07-18 18:32:18.982289
JFTECH (0146),0.750,0.750 ,0.760,0.004,2019-07-18 18:32:20.311463
JHM (0127),1.220,1.210 ,1.230,0.3128,2019-07-18 18:32:21.700202
KESM (9334),7.960,7.800 ,7.960,0.031,2019-07-18 18:32:23.055126
KEYASIC (0143),0.110,0.105 ,0.110,1.6498,2019-07-18 18:32:24.449764
KGROUP (0036),0.040,0.040 ,0.040,0.14,2019-07-18 18:32:25.753697
